Region/Province/City,Kind of Quarantine,Start Date,End Date,Source
Province of Bohol,Community Quarantine,March 16 2020,April 12 2020,Executive Order No. 2020-08 & 14
Cebu City,General Community Quarantine,March 16 2020,April 14 2020,Executive Order No. 52
City of Iligan,Community Quarantine,March 16 2020,03/20/20,Executive Order No. 29 / Executive Order No. 011
Luzon,Enhanced Community Quarantine,March 16 2020,April 12 2020,Proclamation No. 929
Lanao Del Sur,Community Quarantine,March 17 2020,April 14 2020,Joint Executive Order No. 001 Series of 2020
Province of Negros Oriental,General Community Quarantine,March 17 2020,04/03/20,Executive Order No. 21 / Executive Order No. 21 Series of 2020
Bacolod City,General Community Quarantine,March 17 2020,03/30/20,Executive Order No. 21 / Executive Order No. 21 Series of 2020
Province of Leyte,General Community Quarantine,March 18 2020,April 30 2020,Executive Order No. 03-2020-03
Northern Samar,General Community Quarantine,March 18 2020,April 30 2020,Executive Order No. 03-2020-03
Tawi-Tawi,Enhanced Community Quarantine,March 18 2020,April 14 2020,Executive Order No. 2020-05
Iligan City,Enhanced Community Quarantine,March 20 2020,April 30 2020,Executive Order No. 32 & 37
Province of Ilo-ilo,Enhanced Community Quarantine,March 21 2020,April 30 2020,Executive Order No. 80 & 102
City of Ilo-ilo,Enhanced Community Quarantine,March 21 2020,April 30 2020,Executive Order No. 80 & 102
South Cotabato,Enhanced Community Quarantine,March 21 2020,April 30 2020,Executive Order No. 80 & 102
Lanao Del Norte,Enhanced Community Quarantine,March 22 2020,April 10 2020,Executive Order No. 6 Series of 2020
Eastern Samar,General Community Quarantine,March 22 2020,April 12 2020,Executive Order No. 03-015
Province of Antique,Enhanced Community Quarantine,March 22 2020,April 14 2020,Executive Order No. 36 & 38
Province of Aklan,Enhanced Community Quarantine,March 23 2020,April 30 2020,Executive Order No. 20 & 21
City of Davao,Community Quarantine,March 26 2020,April 19 2020,Executive Order No. 20 [2]
Cebu City,Enhanced Community Quarantine,March 28 2020,April 28 2020,Executive Order No. 064 Series of 2020
City of Lapu-lapu,Enhanced Community Quarantine,March 29 2020,April 28 2020,Executive Order No. 2020-048 & 048-B
Province of Cebu,Enhanced Community Quarantine,March 30 2020,April 30 2020,Executive Order No. 5-O
Bacolod City,Enhanced Community Quarantine,March 30 2020,April 14 2020,Executive Order No. 26-2020
Province of Negros Occidental,Enhanced Community Quarantine,March 30 2020,April 24 2020,Executive Order No. 20-2020
Province of Negros Oriental,Enhanced Community Quarantine,April 3 2020,April 18 2020,Executive Order No. 2020-26
Davao Region,Enhanced Community Quarantine,April 4 2020,April 19 2020,Executive Order No. 23-A
Region XIII (Caraga),Enhanced Community Quarantine,April 7 2020,April 30 2020,Resolution No. 12 Series of 2020
Luzon,Enhanced Community Quarantine,April 13 2020,April 30 2020,Approved IATF Resolution No. 20
Province of Bohol,Enhanced Community Quarantine,April 13 2020,April 30 2020,Approved IATF Resolution No. 20
