Rank,Score,Province,Region,Ranking_Year
1st,51.5573,National Capital Region,NATIONAL CAPITAL REGION (NCR),2020
2nd,51.525,Rizal,REGION IV-A (CALABARZON),2020
3rd,50.3919,Davao Del Norte,REGION XI (Davao Region),2020
4th,47.8568,Camiguin,REGION X (Northern Mindanao),2020
5th,47.4095,Laguna,REGION IV-A (CALABARZON),2020
6th,46.5593,Cavite,REGION IV-A (CALABARZON),2020
7th,42.5022,Pampanga,REGION III (Central Luzon),2020
8th,42.1993,Albay,REGION V (Bicol Region),2020
9th,41.9494,Bulacan,REGION III (Central Luzon),2020
10th,41.7135,Batangas,REGION IV-A (CALABARZON),2020
11th,41.1056,Benguet,CAR - Cordillera Administrative Region,2020
12th,40.6958,South Cotabato,REGION XII (Soccsksargen),2020
13th,40.1858,Cotabato (North Cotabato),REGION XII (Soccsksargen),2020
14th,40.0963,La Union,REGION I (Ilocos Region),2020
15th,39.9018,Quirino,REGION II (Cagayan Valley),2020
16th,39.7522,Bataan,REGION III (Central Luzon),2020
17th,39.7125,Camarines Sur,REGION V (Bicol Region),2020
18th,39.6627,Aklan,REGION VI (Western Visayas),2020
19th,39.5989,Surigao Del Norte,REGION XIII (Caraga),2020
20th,39.3689,Tarlac,REGION III (Central Luzon),2020
21st,39.2262,Bohol,REGION VII (Central Visayas),2020
22nd,39.16,Sarangani,REGION XII (Soccsksargen),2020
23rd,39.0941,Oriental Mindoro,REGION IV-B (MIMAROPA),2020
24th,38.9956,Isabela,REGION II (Cagayan Valley),2020
25th,38.9348,Siquijor,REGION VII (Central Visayas),2020
26th,38.741,Iloilo,REGION VI (Western Visayas),2020
27th,38.6288,Cebu,REGION VII (Central Visayas),2020
28th,38.547,Davao de Oro,REGION XI (Davao Region),2020
29th,38.5141,Ilocos Sur,REGION I (Ilocos Region),2020
30th,38.4018,Ilocos Norte,REGION I (Ilocos Region),2020
31st,38.3503,Pangasinan,REGION I (Ilocos Region),2020
32nd,38.3366,Bukidnon,REGION X (Northern Mindanao),2020
33rd,38.2915,Misamis Occidental,REGION X (Northern Mindanao),2020
34th,38.1755,Zamboanga Del Sur,REGION IX (Zamboanga Peninsula),2020
35th,38.1622,Misamis Oriental,REGION X (Northern Mindanao),2020
36th,38.0738,Zambales,REGION III (Central Luzon),2020
37th,38.0599,Sultan Kudarat,REGION XII (Soccsksargen),2020
38th,37.9942,Agusan Del Sur,REGION XIII (Caraga),2020
39th,37.8428,Marinduque,REGION IV-B (MIMAROPA),2020
40th,37.7291,Davao Oriental,REGION XI (Davao Region),2020
41st,37.6193,Biliran,REGION VIII (Eastern Visayas),2020
42nd,37.5185,Quezon,REGION IV-A (CALABARZON),2020
43rd,37.456,Guimaras,REGION VI (Western Visayas),2020
44th,37.4512,Negros Oriental,REGION VII (Central Visayas),2020
45th,37.3421,Nueva Ecija,REGION III (Central Luzon),2020
46th,37.3166,Cagayan,REGION II (Cagayan Valley),2020
47th,37.091,Davao Del Sur,REGION XI (Davao Region),2020
48th,37.0812,Antique,REGION VI (Western Visayas),2020
49th,37.0211,Zamboanga Del Norte,REGION IX (Zamboanga Peninsula),2020
50th,36.9208,Capiz,REGION VI (Western Visayas),2020
51st,36.919,Nueva Vizcaya,REGION II (Cagayan Valley),2020
52nd,36.8655,Leyte,REGION VIII (Eastern Visayas),2020
53rd,36.6734,Aurora,REGION III (Central Luzon),2020
54th,36.5955,Lanao Del Norte,REGION X (Northern Mindanao),2020
55th,36.5496,Ifugao,CAR - Cordillera Administrative Region,2020
56th,36.5214,Dinagat Islands,REGION XIII (Caraga),2020
57th,36.2854,Romblon,REGION IV-B (MIMAROPA),2020
58th,36.2011,Agusan Del Norte,REGION XIII (Caraga),2020
59th,36.1987,Surigao Del Sur,REGION XIII (Caraga),2020
60th,36.0775,Davao Occidental,REGION XI (Davao Region),2020
61st,36.0243,Samar (Western Samar),REGION VIII (Eastern Visayas),2020
62nd,35.9831,Kalinga,CAR - Cordillera Administrative Region,2020
63rd,35.4424,Mountain Province,CAR - Cordillera Administrative Region,2020
64th,35.3915,Negros Occidental,REGION VI (Western Visayas),2020
65th,35.3355,Occidental Mindoro,REGION IV-B (MIMAROPA),2020
66th,35.1907,Sorsogon,REGION V (Bicol Region),2020
67th,34.9105,Abra,CAR - Cordillera Administrative Region,2020
68th,34.8623,Batanes,REGION II (Cagayan Valley),2020
69th,34.6104,Eastern Samar,REGION VIII (Eastern Visayas),2020
70th,34.117,Catanduanes,REGION V (Bicol Region),2020
71st,34,Palawan,REGION IV-B (MIMAROPA),2020
72nd,33.0488,Northern Samar,REGION VIII (Eastern Visayas),2020
73rd,33.0306,Southern Leyte,REGION VIII (Eastern Visayas),2020
74th,32.7262,Camarines Norte,REGION V (Bicol Region),2020
75th,32.5768,Masbate,REGION V (Bicol Region),2020
76th,31.9438,Zamboanga Sibugay,REGION IX (Zamboanga Peninsula),2020
77th,30.8007,Apayao,CAR - Cordillera Administrative Region,2020
1st,51.5573,National Capital Region,NATIONAL CAPITAL REGION (NCR),2021
2nd,45.7503,Rizal,REGION IV-A (CALABARZON),2021
3rd,44.9845,Davao Del Norte,REGION XI (Davao Region),2021
4th,42.2973,Camiguin,REGION X (Northern Mindanao),2021
5th,39.7034,Laguna,REGION IV-A (CALABARZON),2021
6th,38.9637,Cavite,REGION IV-A (CALABARZON),2021
7th,37.1676,South Cotabato,REGION XII (Soccsksargen),2021
8th,36.9341,Pampanga,REGION III (Central Luzon),2021
9th,36.3931,La Union,REGION I (Ilocos Region),2021
10th,36.3385,Batangas,REGION IV-A (CALABARZON),2021
11th,36.3205,Bulacan,REGION III (Central Luzon),2021
12th,36.1681,Compostela Valley,,2021
13th,35.8424,Ifugao,CAR - Cordillera Administrative Region,2021
14th,35.4749,Surigao Del Norte,REGION XIII (Caraga),2021
15th,35.2935,Davao Del Sur,REGION XI (Davao Region),2021
16th,35.0176,Ilocos Norte,REGION I (Ilocos Region),2021
17th,35.0071,Pangasinan,REGION I (Ilocos Region),2021
18th,34.9705,Oriental Mindoro,REGION IV-B (MIMAROPA),2021
19th,34.9337,Sarangani,REGION XII (Soccsksargen),2021
20th,34.8278,Ilocos Sur,REGION I (Ilocos Region),2021
21st,34.752,Bohol,REGION VII (Central Visayas),2021
22nd,34.634,Misamis Oriental,REGION X (Northern Mindanao),2021
23rd,34.486,Albay,REGION V (Bicol Region),2021
24th,34.2094,Bataan,REGION III (Central Luzon),2021
25th,34.1119,Cotabato (North Cotabato),REGION XII (Soccsksargen),2021
26th,34.0713,Sultan Kudarat,REGION XII (Soccsksargen),2021
27th,34.0322,Benguet,CAR - Cordillera Administrative Region,2021
28th,33.9672,Siquijor,REGION VII (Central Visayas),2021
29th,33.9495,Quirino,REGION II (Cagayan Valley),2021
30th,33.898,Iloilo,REGION VI (Western Visayas),2021
31st,33.8648,Lanao Del Norte,REGION X (Northern Mindanao),2021
32nd,33.7801,Zamboanga Del Norte,REGION IX (Zamboanga Peninsula),2021
33rd,33.7119,Aklan,REGION VI (Western Visayas),2021
34th,33.6485,Zamboanga Del Sur,REGION IX (Zamboanga Peninsula),2021
35th,33.4347,Agusan Del Sur,REGION XIII (Caraga),2021
36th,33.363,Agusan Del Norte,REGION XIII (Caraga),2021
37th,33.3373,Tarlac,REGION III (Central Luzon),2021
38th,33.305,Maguindanao,,2021
39th,33.1945,Romblon,REGION IV-B (MIMAROPA),2021
40th,33.1598,Davao Occidental,REGION XI (Davao Region),2021
41st,33.1198,Leyte,REGION VIII (Eastern Visayas),2021
42nd,33.0768,Bukidnon,REGION X (Northern Mindanao),2021
43rd,32.9747,Camarines Sur,REGION V (Bicol Region),2021
44th,32.7272,Davao Oriental,REGION XI (Davao Region),2021
45th,32.6431,Guimaras,REGION VI (Western Visayas),2021
46th,32.5982,Aurora,REGION III (Central Luzon),2021
47th,32.58,Biliran,REGION VIII (Eastern Visayas),2021
48th,32.5359,Abra,CAR - Cordillera Administrative Region,2021
49th,32.4797,Kalinga,CAR - Cordillera Administrative Region,2021
50th,32.4786,Marinduque,REGION IV-B (MIMAROPA),2021
51st,32.2486,Cebu,REGION VII (Central Visayas),2021
52nd,32.206,Mountain Province,CAR - Cordillera Administrative Region,2021
53rd,32.1338,Isabela,REGION II (Cagayan Valley),2021
54th,32.1113,Quezon,REGION IV-A (CALABARZON),2021
55th,32.0893,Dinagat Islands,REGION XIII (Caraga),2021
56th,32.078,Misamis Occidental,REGION X (Northern Mindanao),2021
57th,32.0602,Cagayan,REGION II (Cagayan Valley),2021
58th,32.0445,Zambales,REGION III (Central Luzon),2021
59th,31.6071,Surigao Del Sur,REGION XIII (Caraga),2021
60th,31.5783,Nueva Ecija,REGION III (Central Luzon),2021
61st,31.4658,Capiz,REGION VI (Western Visayas),2021
62nd,31.1944,Palawan,REGION IV-B (MIMAROPA),2021
63rd,31.0598,Occidental Mindoro,REGION IV-B (MIMAROPA),2021
64th,30.9286,Antique,REGION VI (Western Visayas),2021
65th,30.8775,Negros Occidental,REGION VI (Western Visayas),2021
66th,30.8515,Camarines Norte,REGION V (Bicol Region),2021
67th,30.7749,Samar (Western Samar),REGION VIII (Eastern Visayas),2021
68th,30.7321,Nueva Vizcaya,REGION II (Cagayan Valley),2021
69th,30.6606,Batanes,REGION II (Cagayan Valley),2021
70th,30.6495,Apayao,CAR - Cordillera Administrative Region,2021
71st,30.5826,Negros Oriental,REGION VII (Central Visayas),2021
72nd,30.436,Zamboanga Sibugay,REGION IX (Zamboanga Peninsula),2021
73rd,30.1235,Southern Leyte,REGION VIII (Eastern Visayas),2021
74th,29.5446,Catanduanes,REGION V (Bicol Region),2021
75th,29.0747,Masbate,REGION V (Bicol Region),2021
