Province,2020 Recorded Population,2021 Projected Population,2022 Projected Population
NATIONAL CAPITAL REGION (NCR),13484462,13607171,13710585
APAYAO,124366,125498,126452
BENGUET,827041,834567,840910
IFUGAO,207498,209386,210978
KALINGA,229570,231659,233420
MOUNTAIN PROVINCE,158200,159640,160853
ILOCOS NORTE,609588,615135,619810
ILOCOS SUR,706009,712434,717848
LA UNION,822352,829835,836142
PANGASINAN,3163190,3191975,3216234
BATANES,18831,19002,19147
CAGAYAN,1268603,1280147,1289876
ISABELA,1697050,1712493,1725508
NUEVA VIZCAYA,497432,501959,505774
QUIRINO,203828,205683,207246
AURORA,235750,237895,239703
BATAAN,853373,861139,867683
BULACAN,3708890,3742641,3771085
NUEVA ECIJA,2310134,2331156,2348873
PAMPANGA,2900637,2927033,2949278
TARLAC,1503456,1517137,1528668
ZAMBALES,909932,918212,925191
BATANGAS,2908494,2934961,2957267
CAVITE,4344829,4384367,4417688
LAGUNA,3382193,3412971,3438910
QUEZON,2229383,2249670,2266768
RIZAL,3330143,3360447,3385987
MARINDUQUE,239207,241384,243218
OCCIDENTAL MINDORO,525354,530135,534164
ORIENTAL MINDORO,908339,916605,923571
PALAWAN,1246673,1258018,1267579
ROMBLON,308985,311797,314166
ALBAY,1374768,1387278,1397822
CAMARINES NORTE,629699,635429,640259
CAMARINES SUR,2068244,2087065,2102927
CATANDUANES,271879,274353,276438
MASBATE,908920,917191,924162
SORSOGON,828655,836196,842551
AKLAN,615475,621076,625796
ANTIQUE,612974,618552,623253
CAPIZ,804952,812277,818450
GUIMARAS,187842,189551,190992
ILOILO,2509525,2532362,2551608
NEGROS OCCIDENTAL,3223955,3253293,3278018
BOHOL,1394329,1407017,1417711
CEBU,5151274,5198151,5237657
NEGROS ORIENTAL,1432990,1446030,1457020
SIQUIJOR,103395,104336,105129
BILIRAN,179312,180944,182319
EASTERN SAMAR,477168,481510,485170
LEYTE,2028728,2047189,2062748
NORTHERN SAMAR,639186,645003,649905
SAMAR (WESTERN SAMAR),793183,800401,806484
SOUTHERN LEYTE,429573,433482,436777
ZAMBOANGA DEL NORTE,1047455,1056987,1065020
ZAMBOANGA DEL SUR,2027902,2046356,2061908
ZAMBOANGA SIBUGAY,669840,675936,681073
BUKIDNON,1541308,1555334,1567154
CAMIGUIN,92808,93653,94364
LANAO DEL NORTE,1086017,1095900,1104229
MISAMIS OCCIDENTAL,617333,622951,627685
MISAMIS ORIENTAL,1685302,1700638,1713563
DAVAO DE ORO,767547,774532,780418
DAVAO DEL NORTE,1125057,1135295,1143923
DAVAO DEL SUR,2457430,2479793,2498639
DAVAO OCCIDENTAL,317159,320045,322477
DAVAO ORIENTAL,576343,581588,586008
COTABATO (NORTH COTABATO),1490618,1504183,1515614
SARANGANI,558946,564032,568319
SOUTH COTABATO,1672791,1688013,1700842
SULTAN KUDARAT,854052,861824,868374
BASILAN,556586,561651,565919
LANAO DEL SUR,1195518,1206397,1215566
MAGUINDANAO,1667258,1682430,1695217
SULU,1000108,1009209,1016879
TAWI-TAWI,440276,444283,447659
AGUSAN DEL NORTE,760413,767333,773164
AGUSAN DEL SUR,739367,746095,751766
DINAGAT ISLANDS,128117,129283,130265
SURIGAO DEL NORTE,534636,539501,543601
SURIGAO DEL SUR,642255,648100,653025
